name,description,price,warranty,specifications
Lithium Battery 211,Eco-friendly battery with stable output.,41.18,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 212,Reliable battery for industrial applications.,10.43,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 213,Rechargeable battery suitable for various devices.,46.99,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 214,Eco-friendly battery with stable output.,43.05,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 215,Rechargeable battery suitable for various devices.,48.42,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 216,Reliable battery for industrial applications.,29.65,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 217,Rechargeable battery suitable for various devices.,29.48,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 218,Rechargeable battery suitable for various devices.,40.97,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 219,Rechargeable battery suitable for various devices.,10.93,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 220,High-performance lithium battery with long life.,40.76,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 221,Rechargeable battery suitable for various devices.,37.16,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 222,"Compact size, ideal for portable electronics.",11.32,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 223,Reliable battery for industrial applications.,23.21,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 224,Eco-friendly battery with stable output.,47.49,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 225,Reliable battery for industrial applications.,13.0,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 226,High-performance lithium battery with long life.,33.29,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 227,Rechargeable battery suitable for various devices.,17.43,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 228,Eco-friendly battery with stable output.,28.24,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 229,High-performance lithium battery with long life.,10.14,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 230,Rechargeable battery suitable for various devices.,47.77,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 231,Eco-friendly battery with stable output.,27.9,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 232,Rechargeable battery suitable for various devices.,35.46,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 233,Reliable battery for industrial applications.,30.63,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 234,High-performance lithium battery with long life.,32.97,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 235,"Compact size, ideal for portable electronics.",49.63,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 236,Eco-friendly battery with stable output.,46.76,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 237,High-performance lithium battery with long life.,26.42,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 238,High-performance lithium battery with long life.,22.53,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 239,"Compact size, ideal for portable electronics.",11.45,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 240,"Compact size, ideal for portable electronics.",22.21,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 241,"Compact size, ideal for portable electronics.",28.32,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 242,Rechargeable battery suitable for various devices.,16.93,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 243,Eco-friendly battery with stable output.,10.15,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 244,Reliable battery for industrial applications.,21.26,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 245,Eco-friendly battery with stable output.,22.03,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 246,Eco-friendly battery with stable output.,46.27,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 247,Eco-friendly battery with stable output.,33.74,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 248,Reliable battery for industrial applications.,27.39,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 249,Reliable battery for industrial applications.,31.15,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 250,Reliable battery for industrial applications.,30.09,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 251,Eco-friendly battery with stable output.,18.83,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 252,"Compact size, ideal for portable electronics.",30.07,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 253,"Compact size, ideal for portable electronics.",32.23,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 254,Eco-friendly battery with stable output.,21.68,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 255,Reliable battery for industrial applications.,20.58,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 256,Eco-friendly battery with stable output.,45.01,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 257,Eco-friendly battery with stable output.,37.97,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 258,Eco-friendly battery with stable output.,45.91,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 259,"Compact size, ideal for portable electronics.",26.3,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 260,Reliable battery for industrial applications.,22.08,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 261,High-performance lithium battery with long life.,11.54,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 262,High-performance lithium battery with long life.,15.3,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 263,Reliable battery for industrial applications.,23.48,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 264,"Compact size, ideal for portable electronics.",28.4,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 265,High-performance lithium battery with long life.,12.36,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 266,"Compact size, ideal for portable electronics.",26.36,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 267,"Compact size, ideal for portable electronics.",26.39,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 268,"Compact size, ideal for portable electronics.",11.72,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 269,High-performance lithium battery with long life.,21.48,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 270,High-performance lithium battery with long life.,15.65,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 271,High-performance lithium battery with long life.,30.32,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 272,High-performance lithium battery with long life.,37.48,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 273,High-performance lithium battery with long life.,33.34,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 274,Rechargeable battery suitable for various devices.,38.79,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 275,Rechargeable battery suitable for various devices.,28.26,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 276,Reliable battery for industrial applications.,16.84,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 277,"Compact size, ideal for portable electronics.",12.83,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 278,Eco-friendly battery with stable output.,17.51,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 279,Rechargeable battery suitable for various devices.,36.62,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 280,High-performance lithium battery with long life.,27.98,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 281,Rechargeable battery suitable for various devices.,17.53,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 282,High-performance lithium battery with long life.,17.17,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 283,Eco-friendly battery with stable output.,45.97,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 284,Eco-friendly battery with stable output.,47.22,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 285,"Compact size, ideal for portable electronics.",21.07,2 years,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 286,"Compact size, ideal for portable electronics.",16.91,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 287,"Compact size, ideal for portable electronics.",15.03,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 288,Eco-friendly battery with stable output.,16.11,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 289,"Compact size, ideal for portable electronics.",21.16,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 290,Reliable battery for industrial applications.,44.07,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 291,Rechargeable battery suitable for various devices.,14.47,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 292,"Compact size, ideal for portable electronics.",46.56,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 293,High-performance lithium battery with long life.,14.19,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 294,Eco-friendly battery with stable output.,32.02,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 295,Reliable battery for industrial applications.,27.43,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 296,High-performance lithium battery with long life.,43.09,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 297,High-performance lithium battery with long life.,26.05,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 298,High-performance lithium battery with long life.,30.78,1 year,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 299,Eco-friendly battery with stable output.,37.9,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 300,Reliable battery for industrial applications.,13.31,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
